Fecha,Activo,Produccion (MWh),Producible (MWh),Consigna (MWh),MDAenviado (MWh),MDAcasado (MWh),RestMDA (MWh),AUGCenviado (MWh),AUGCcasado (MWh),RestAUGC (MWh),Limitacion (MWh),Vertido (MWh),GenLib Recuperacion,MTR Recuperacion,AUGC Recuperacion,Factor MDA,Factor AUGC
16/01/2025 00:00,AT Solar V,-0.38,2.55,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 01:00,AT Solar V,-0.38,2.98,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 02:00,AT Solar V,-0.38,3.41,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 03:00,AT Solar V,-0.38,3.84,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 04:00,AT Solar V,-0.38,4.27,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 05:00,AT Solar V,-0.38,4.7,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 06:00,AT Solar V,-0.38,5.13,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 07:00,AT Solar V,-0.38,5.56,0.01,0,0,0,0.86,0,0.86,0,0,0,0,0,1,1
16/01/2025 08:00,AT Solar V,1.12,7.11,2.76,2.77,2.77,0,18.11,2.77,15.34,0,4.35,0,0,0,1,1
16/01/2025 09:00,AT Solar V,40.08,50.9,55.61,56.18,56.18,0,104.46,56.18,48.28,0,0,0,0,0,1,1
16/01/2025 10:00,AT Solar V,87.09,104.65,100.4,100.86,100.86,0,123.08,100.86,22.22,0,4.25,0,0,0,0.97,1
16/01/2025 11:00,AT Solar V,90.84,106.62,101.41,101.41,101.41,0,123.65,101.41,22.24,0,5.21,0,0,0,0.97,1
16/01/2025 12:00,AT Solar V,88.69,102.55,99.34,99.31,99.31,0,123.44,99.31,24.13,0,3.22,0,0,0,0.99,1
16/01/2025 13:00,AT Solar V,87.49,100.47,98.21,98.19,98.19,0,123.22,98.19,25.03,0,2.26,0,0,0,0.99,1
16/01/2025 14:00,AT Solar V,87.86,102.09,93.8,93.74,93.74,0,122.22,93.74,28.48,0,8.3,0,0,0,1,1
16/01/2025 15:00,AT Solar V,88.68,107.61,88.62,88.56,88.56,0,120.29,88.56,31.73,0,18.99,0,0,0,1,1
16/01/2025 16:00,AT Solar V,70.53,106.21,72.39,72.2,72.2,0,112.7,72.2,40.5,0,33.82,0,0,0,0.98,1
16/01/2025 17:00,AT Solar V,15.57,18.77,38.7,38.27,38.27,0,77.4,38.27,39.13,0,0,0,0,0,1,1
16/01/2025 18:00,AT Solar V,3.02,4.07,6.33,5.99,5.99,0,20.41,5.99,14.42,0,0,0,0,0,1,1
16/01/2025 19:00,AT Solar V,-0.4,0,0.06,0,0,0,1.43,0,1.43,0,0,0,0,0,1,1
16/01/2025 20:00,AT Solar V,-0.38,0,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
16/01/2025 21:00,AT Solar V,-0.38,0,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1
